id;start;jhi_end;name;note
1;2021-10-09;2021-10-09;optimal pixel Plastic;Web
2;2021-10-10;2021-10-10;Handmade East;Fresh digital Gorgeous
3;2021-10-10;2021-10-10;Fresh;indigo
4;2021-10-10;2021-10-10;deposit Dominica;HDD Integration CSS
5;2021-10-10;2021-10-10;empower;application fresh-thinking
6;2021-10-10;2021-10-10;e-markets RSS;Cross-platform International
7;2021-10-10;2021-10-10;Bedfordshire;solution-oriented Road Concrete
8;2021-10-09;2021-10-10;solutions;Facilitator Chips
9;2021-10-10;2021-10-10;Intranet Liaison;plum cultivate bifurcated
10;2021-10-10;2021-10-10;Executive Computers auxiliary;channels policy
